               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.2314,              4.5841,              1.8352,            0.052736,            0.034297,            0.015022,           0.0051478,              2.2687,               4.021,              1.9123,              0.0856,              0.0016,              0.0016
                   1,               2.229,               3.448,              1.8267,             0.15785,             0.12908,            0.085932,            0.030045,              2.3969,              3.2215,              1.9632,            0.070169,           0.0031693,           0.0031693
                   2,              2.1063,              2.8214,              1.7374,             0.24363,             0.14599,            0.088725,            0.029522,              2.3025,              3.2177,              2.0001,            0.054604,            0.004604,            0.004604
                   3,              2.0561,              2.6549,              1.6104,             0.33535,             0.14842,              0.0917,            0.033271,              2.3323,              3.2889,              2.0249,            0.038904,            0.005904,            0.005904
                   4,              2.0843,              2.5876,              1.7123,              0.3786,             0.15937,             0.14503,            0.046081,              2.1554,              3.1234,              1.9819,            0.023069,           0.0070694,           0.0070694
                   5,              2.0274,              2.4807,              1.6483,             0.54286,             0.10589,            0.093863,            0.032699,              2.2775,               4.262,               1.941,             0.00802,             0.00802,             0.00802
                   6,               2.081,              2.6573,              1.6308,             0.15423,             0.16029,            0.094047,            0.035943,              2.3939,              3.2078,              2.0176,             0.00802,             0.00802,             0.00802
                   7,               2.102,              2.6462,               1.603,             0.16746,            0.054337,             0.03597,            0.013454,              2.5703,              4.5219,              2.1465,            0.007624,            0.007624,            0.007624
                   8,              2.0863,              2.5419,              1.5647,             0.30785,             0.14204,             0.10346,            0.040764,              2.4022,              3.3631,              1.9206,            0.007228,            0.007228,            0.007228
                   9,              2.0075,              2.2228,              1.5552,              0.2202,             0.17745,             0.12992,            0.044148,              2.3908,              3.5112,              1.8898,            0.006832,            0.006832,            0.006832
                  10,              1.9094,               2.704,              1.6226,             0.18355,             0.15766,             0.10376,            0.034451,              2.4407,               3.101,              2.0011,            0.006436,            0.006436,            0.006436
                  11,              1.9838,              2.4432,              1.6846,             0.26533,             0.16964,            0.061881,            0.025437,              2.5383,              4.3714,               2.109,             0.00604,             0.00604,             0.00604
                  12,              1.9923,               2.373,              1.6891,             0.39166,             0.13555,             0.12138,            0.041665,              2.3253,              3.2301,              2.0151,            0.005644,            0.005644,            0.005644
                  13,              2.0324,              2.3206,              1.7533,               0.247,             0.16899,             0.11702,            0.037081,              2.3362,               3.376,              1.9871,            0.005248,            0.005248,            0.005248
                  14,              2.0034,              2.2497,              1.7267,             0.26583,             0.21194,             0.13129,            0.042544,              2.3522,              2.8468,              2.0089,            0.004852,            0.004852,            0.004852
                  15,              1.9329,              2.0665,              1.6737,             0.19651,             0.19555,             0.13285,            0.041515,              2.3646,              3.2076,              2.0853,            0.004456,            0.004456,            0.004456
                  16,              1.9587,              2.0729,               1.691,             0.24214,             0.28744,              0.1359,            0.047024,              2.3971,              3.3545,              2.0675,             0.00406,             0.00406,             0.00406
                  17,              1.9269,              2.0217,              1.6247,              0.3044,             0.22016,             0.16004,            0.054344,              2.4099,              2.9046,              2.1252,            0.003664,            0.003664,            0.003664
                  18,              1.8453,              1.9846,              1.6425,             0.29161,             0.36085,             0.18647,            0.068932,              2.3215,              3.1186,              2.0295,            0.003268,            0.003268,            0.003268
                  19,              1.9239,              1.9808,               1.741,             0.36488,             0.23907,             0.21506,            0.068868,              2.3499,              2.6715,              2.0784,            0.002872,            0.002872,            0.002872
                  20,              1.8065,              1.8016,              1.5724,              0.4693,             0.26122,              0.2726,             0.08401,               2.255,              2.4672,              1.9475,            0.002476,            0.002476,            0.002476
                  21,              1.7978,              1.6651,              1.5465,             0.39838,             0.33658,             0.27864,            0.089784,              2.2842,              2.4561,              1.9815,             0.00208,             0.00208,             0.00208
                  22,              1.7686,              1.6166,              1.5696,             0.45197,             0.31473,             0.28701,            0.098995,              2.2829,              2.3917,              2.0092,            0.001684,            0.001684,            0.001684
                  23,              1.7668,               1.534,              1.5172,              0.3956,             0.31106,             0.29049,             0.11037,              2.2427,              2.4135,              1.9721,            0.001288,            0.001288,            0.001288
                  24,              1.7113,              1.5604,              1.5341,             0.39008,              0.3349,             0.32127,             0.11729,              2.2114,              2.1981,              1.9489,            0.000892,            0.000892,            0.000892
